"","arrivals","departures"
"1",NA,3.0403979527764
"2",NA,3.95071371551603
"3",NA,4.09336607577279
"4",NA,4.87127717630938
"5",2.1562923816964,2.67162254475988
"6",2.39913502056152,2.86111393058673
"7",5.2624029899016,6.25581317860633
"8",5.49566508131102,6.1096329591237
"9",6.66959301754832,8.04465408995748
"10",10.6468969197012,12.6503136490937
"11",12.6091111432761,15.155741755385
"12",16.3472864376381,17.0832686314825
"13",19.7224065042101,21.1482142859604
"14",25.5215183109976,26.2121820808388
"15",26.0707078375854,28.580489535816
"16",26.1169137312099,26.5229806441348
"17",28.7953017172404,31.6917717671022
"18",29.8730303579941,30.5359382217284
"19",30.3610023781657,32.1984288955573
"20",30.5772412894294,31.4302281145938
"21",31.2558561502956,31.4965257004369
"22",32.2226197086275,33.8239793255925
"23",32.558588091284,32.6663066453766
"24",33.1773896296509,35.1693817174528
"25",34.924239590764,36.7566538418178
"26",39.3836483722553,41.096955900779
"27",39.8353218426928,40.9205258698203
"28",42.2656486462802,44.2883519364987
"29",42.7781901382841,44.8117541803513
"30",42.9822872090153,44.8056631546933
"31",44.9492372749373,47.4078849493526
"32",47.1409029769711,49.5060552007053
"33",49.4348164144903,49.934561238857
"34",50.9481682414189,51.3461361690424
"35",51.6542206811719,52.9830273964908
"36",57.438038831111,58.9086989031639
"37",57.6824144991115,59.0864562964998
"38",62.0732451528311,64.9905181825161
"39",62.2843013224192,63.5633252451662
"40",64.0444314996712,65.6437268676236
"41",66.1083004376851,68.9306612305809
"42",76.5102811222896,77.1082551386207
"43",78.8729604394175,79.3502305413131
"44",84.084210420493,84.1931949639693
"45",85.4504441125318,86.7245952934027
"46",88.4682765961625,90.2290921658278
"47",89.0107228760608,89.9785545535851
"48",89.6576093416661,90.8038427692372
"49",92.0403364752419,92.7698886401486
"50",94.1788509227335,94.4763913247734
"51",97.8229217492044,98.0670256367885
"52",99.174973516725,100.444675679086
"53",100.774732194375,103.726371173048
"54",102.141349507961,103.885768576059
"55",103.242042363156,105.022349027451
"56",103.43646771647,105.317041407572
"57",105.653310481925,107.928619067185
"58",106.898245663382,109.774596258765
"59",113.124418381602,114.892925952561
"60",113.316767016426,114.469304675236
"61",113.446019169409,116.240159038687
"62",115.888529443648,118.058945807861
"63",117.626507818233,119.836263546254
"64",118.195316787343,119.777540405514
"65",118.538054851815,119.232840831159
"66",123.113296525553,124.475467831129
"67",125.334660738241,126.74703348102
"68",125.817635062616,127.791359259048
"69",126.574686896056,127.009326390456
"70",129.261921074241,131.198123169132
"71",130.487298842054,130.747325115139
"72",130.923857665155,133.745012922445
"73",132.810968656093,133.2523227653
"74",139.095134836156,141.365114015993
"75",140.86885766359,143.58441409003
"76",144.727732827421,144.886076713214
"77",145.62428510841,147.539205296896
"78",146.915053385776,148.499970047968
"79",150.957810658962,153.272529557347
"80",153.889226092491,156.578288044548
"81",154.11352105625,154.706680796575
"82",154.719543396961,157.046706092544
"83",155.478528741281,156.7636311776
"84",159.142124093603,160.694035691908
"85",163.946758547332,166.535645878175
"86",168.646311919671,170.641783927102
"87",169.280346959364,171.85632133903
"88",169.902234746609,171.405528699746
"89",169.908213664312,172.268971509067
"90",172.068510655314,174.431911198189
"91",173.540333316196,175.936292061349
"92",177.19238963211,179.525543071562
"93",187.430826185737,188.634489816846
"94",188.056108492892,188.137675125618
"95",188.712899804581,190.549694255227
"96",191.022635809612,191.776021761121
"97",191.495894496795,194.282024420332
"98",192.753850538749,194.362912382232
"99",195.849341928028,197.457243836951
"100",199.605487151071,198.922299212543
"101",200.857946168166,200.779850546038
"102",200.844687773846,199.913761467207
"103",203.319522974547,202.372672748286
"104",202.686712747673,202.257014020113
"105",204.512081982102,203.885297698667
"106",205.486725198105,205.21741006407
"107",206.158901652554,206.141305306926
"108",207.513763065217,207.185489556519
"109",209.645574133843,208.650502919219
"110",211.562498714309,210.77318170527
"111",210.115313516464,209.988365531433
"112",213.683390110498,213.452641695505
"113",222.468955241144,221.843439312419
"114",223.498942282749,222.638382702833
"115",227.026050458429,226.373837753199
"116",230.20807690639,229.432073207572
"117",230.259669234743,229.982571131084
"118",229.687072364846,229.007751007564
"119",231.567406338872,231.442190783098
"120",231.284738167655,230.640905593056
"121",236.326751024462,235.647304947954
"122",238.583149119513,238.402094770689
"123",239.169068659889,238.42508209683
"124",237.473841603613,236.608553478727
"125",238.2708709992,238.127666937886
"126",242.011150477687,241.431972748367
"127",239.371009854833,239.001135400264
"128",241.944675128441,241.631009553093
"129",241.563974785386,241.181365101133
"130",243.099811492488,242.199496826855
"131",242.748968416126,242.561461199541
"132",245.253165508388,244.671703067841
"133",246.536950089503,246.269451024709
"134",248.110349841416,247.145951581188
"135",244.972122490872,245.681338973343
"136",249.055818615016,250.961894081673
"137",250.999484330881,252.280601501232
"138",257.802514369134,259.010009458289
"139",259.091162632685,260.552029680926
"140",260.717988589313,260.924353937851
"141",262.322735804133,263.865771070356
"142",262.64263412822,263.783407947281
"143",263.361454525497,265.416990762809
"144",264.580574037507,265.163907975191
"145",264.935962662566,265.516301847529
"146",265.389747612644,266.313612487167
"147",265.499574735761,267.553060769336
"148",266.318623807747,267.813955411781
"149",268.498356236145,268.5315566801
"150",270.605222010054,271.368697409984
"151",270.936947034672,272.610651542433
"152",272.658550201915,275.113481031032
"153",273.240955567919,273.353975719074
"154",273.306983434595,275.365380606847
"155",274.0594611587,276.401629503351
"156",275.9325756873,278.561331181554
"157",276.055541900452,278.440201513935
"158",277.350472773425,277.449756431859
"159",278.300335752312,279.281045343261
